# Data extracted from GeoNames database (http://www.geonames.org) by zyGrib (http://www.zygrib.org)
# Format: country;name;population;latitude;longitude
#
AD;Sant Julià de Lòria;8022;42.46372;1.49129
AD;Ordino;3066;42.55623;1.53319
AD;la Massana;7211;42.54499;1.51483
AD;Canillo;3292;42.56667;1.6
AF;Zaṟah Sharan;7366;33.14667;68.79167
AF;Yangī Qal‘ah;6541;37.46572;69.61131
AF;Tīr Pul;6979;34.59431;61.26895
AF;Tagāw-Bāy;9096;35.69941;66.06164
AF;Tagāb;6400;34.85501;69.64917
AF;Qarchī Gak;8942;37.03999;66.78891
AF;Qal‘ah-ye Shahr;7756;35.54729;65.5676
AF;Mīr Bachah Kōṯ;5405;34.74973;69.11778
AF;Khandūd;5521;36.94889;72.31694
AF;Imām Şāḩib;9659;37.18897;68.93644
AF;Dasht-e Archī;8263;37.13333;69.16667
AF;Darz Āb;9642;35.97744;65.37828
AF;Markaz-e Ḩukūmat-e Darwayshān;9012;31.13232;64.1934
AF;Ḩukūmatī Dahānah-ye Ghōrī;3307;35.90617;68.48869
AF;Bāsowl;6835;34.24749;70.87218
AF;‘Alāqahdārī Deh-e Shū;9196;30.43741;63.31298
AL;Delvinë;3916;39.95111;20.09778
AL;Përrenjas-Fshat;4015;41.06667;20.53528
AL;Maliq;3735;40.70583;20.69972
AL;Libohovë;3651;40.03111;20.26306
AL;Ersekë;7890;40.33778;20.67889
AL;Bilisht;7114;40.6275;20.99
AL;Vorë;4973;41.39083;19.655
AL;Ura Vajgurore;4893;40.76889;19.87778
AL;Selenicë;6912;40.53056;19.63583
AL;Rrogozhinë;5620;41.07639;19.66528
AL;Roskovec;6657;40.7375;19.70222
AL;Pukë;6495;42.04444;19.89972
AL;Peqin;7513;41.04611;19.75111
AL;Memaliaj;4951;40.35167;19.98028
AL;Mamurras;8282;41.5775;19.69222
AL;Koplik;4078;42.21361;19.43639
AL;Himarë;4596;40.10167;19.74472
AM;Yeghegnadzor;8200;39.76111;45.33333
AM;Vosketap’;4080;39.8725;44.65444
AM;Vayk’;5419;39.69167;45.46528
AM;Shahumyan;3905;39.93083;44.57833
AM;Meghri;4540;38.90222;46.23833
AM;Malishka;4174;39.73694;45.3875
AM;Jermuk;4582;39.84167;45.67222
AM;Aygezard;3192;39.94583;44.60889
AM;Aygavan;3758;39.86472;44.67028
AM;Avshar;4215;39.84056;44.68361
AM;Agarak;4707;39.20389;46.54722
AM;Zovuni;4484;40.51083;44.42889
AM;Yeranos;4233;40.20806;45.18611
AM;Voskevaz;3789;40.27583;44.29722
AM;Verin Getashen;4173;40.13278;45.24861
AM;Verin Artashat;3931;40.00056;44.585
AM;Vardenik;7709;40.135;45.43639
AM;Vaghashen;3235;40.13778;45.32917
AM;Tsovinar;3968;40.16083;45.45389
AM;Tsovagyugh;3857;40.63306;44.95222
AM;Tashir;7318;41.12444;44.28194
AM;T’alin;4945;40.38222;43.87861
AM;Sarukhan;6173;40.28917;45.13417
AM;Prroshyan;4333;40.24806;44.415
AM;Oshakan;4768;40.26333;44.31472
AM;Hoktember;5348;40.13611;44.01389
AM;Odzun;4524;41.05389;44.61139
AM;Noyemberyan;5119;41.1725;44.99361
AM;Nor Geghi;4896;40.32111;44.57972
AM;Norashen;3049;40.00417;44.59472
AM;Noratus;5426;40.38222;45.17833
AM;Nerk’in Getashen;7010;40.14583;45.26389
AM;Nalbandyan;4019;40.06778;43.98556
AM;Mrgashat;4961;40.12972;44.07056
AM;Metsavan;4767;41.20167;44.22889
AM;Metsamor;8789;40.07139;44.28917
AM;Margahovit;3308;40.73806;44.6875
AM;Maralik;4959;40.57222;43.86694
AM;Lichk’;4105;40.16361;45.22778
AM;Lchashen;4182;40.52028;44.93083
AM;Kasakh;4247;40.53333;44.41667
AM;Karbi;3521;40.33111;44.37639
AM;Karanlukh;5104;40.10444;45.28972
AM;Haghartsin;3370;40.77806;44.9625
AM;Gugark’;4705;40.80722;44.53806
AM;Garrni;6827;40.11944;44.72306
AM;Dzoragyugh;3570;40.17528;45.175
AM;Jrashen;3078;40.7875;44.19722
AM;Dalarik;3080;40.21833;43.86028
AM;Chambarak;6153;40.59528;45.3475
AM;Byureghavan;6972;40.31472;44.59361
AM;Byurakan;3902;40.34;44.27028
AM;Berd;8374;40.88083;45.39167
AM;Bambakashat;3089;40.11444;44.01222
AM;Bagratashen;3024;41.24583;44.82111
AM;Azatan;4448;40.72389;43.82056
AM;Astghadzor;3520;40.12389;45.35667
AM;Arteni;3086;40.29833;43.75417
AM;Arshaluys;3808;40.16889;44.21417
AM;Aramus;3214;40.25111;44.66306
AM;Aparan;5670;40.59611;44.35361
AM;Akunk’;3444;40.15222;45.72
AM;Akhuryan;7672;40.78139;43.89639
AM;Berdavan;3150;41.20278;45.00333
AM;Artsvaberd;3193;40.83361;45.47111
AM;Gandzak;3841;40.31472;45.11139
AM;Myasnikyan;3458;40.1775;43.90639
AM;Gay;3309;40.08389;44.30556
AM;Hovtashat;3472;40.10194;44.34278
AO;Lumeje;4972;-11.55;20.78333
AO;Leúa;5168;-11.65;20.45
AO;Cazage;4764;-11.06667;20.7
AO;Quibala;8915;-10.73333;14.98333
AO;Chissamba;7677;-12.16667;17.33333
AR;Villa Paranacito;3988;-33.73333;-58.66667
AR;Villa María Grande;7101;-31.65;-59.9
AR;Villa Hernandarias;5375;-31.21667;-59.98333
AR;Villa Elisa;9334;-32.16667;-58.4
AR;Villa del Rosario;3488;-30.78333;-57.91667
